character_id,character_name,rarity,vision,weapon_type,region,model,release_date,birthday,limited
63,"Traveler (Aether, Electro)",5,Electro,Sword,Unknown,Medium Male,2021-07-21,,False
64,"Traveler (Aether, Geo)",5,Geo,Sword,Unknown,Medium Male,2020-09-28,,False
65,"Traveler (Aether, Hydro)",5,Hydro,Sword,Unknown,Medium Male,2023-08-16,,False
66,"Traveler (Lumine, Anemo)",5,Anemo,Sword,Unknown,Medium Female,2020-09-28,,False
67,"Traveler (Lumine, Dendro)",5,Dendro,Sword,Unknown,Medium Female,2022-08-23,,False
68,"Traveler (Lumine, Electro)",5,Electro,Sword,Unknown,Medium Female,2021-07-21,,False
69,"Traveler (Lumine, Geo)",5,Geo,Sword,Unknown,Medium Female,2020-09-28,,False
70,"Traveler (Lumine, Hydro)",5,Hydro,Sword,Unknown,Medium Female,2023-08-16,,False
71,Venti,5,Anemo,Bow,Mondstadt,Medium Male,2020-09-28,2022-06-16,False
72,Wanderer,5,Anemo,Catalyst,Sumeru,Medium Male,2022-12-07,2023-01-03,False
73,Wriothesley,5,Cryo,Catalyst,Fontaine,Tall Male,2023-10-17,2023-11-23,False
74,Xiangling,4,Pyro,Polearm,Liyue,Medium Female,2020-09-28,2022-11-02,False
75,Xiao,5,Anemo,Polearm,Liyue,Medium Male,2021-02-03,2022-04-17,False
76,Xingqiu,4,Hydro,Sword,Liyue,Medium Male,2020-09-28,2022-10-09,False
77,Xinyan,4,Pyro,Claymore,Liyue,Medium Female,2020-12-01,2022-10-16,False
78,Yae Miko,5,Electro,Catalyst,Inazuma,Tall Female,2022-02-16,2022-06-27,False
79,Yanfei,4,Pyro,Catalyst,Liyue,Medium Female,2021-04-28,2022-07-28,False
80,Yaoyao,4,Dendro,Polearm,Liyue,Short Female,2023-01-18,2023-03-06,False
81,Yelan,5,Hydro,Bow,Liyue,Tall Female,2022-05-31,2022-04-20,False
82,Yoimiya,5,Pyro,Bow,Inazuma,Medium Female,2021-08-10,2022-06-21,False
83,Yun Jin,4,Geo,Polearm,Liyue,Medium Female,2022-01-05,2022-05-21,False
84,Zhongli,5,Geo,Polearm,Liyue,Tall Male,2020-12-01,2022-12-31,False
